name,city,state,country,latitude,longitude,tees,holes,par,rating,slope,access_type,website
Acushnet River Valley Golf Course,Acushnet,Massachusetts,USA,41.7137061,-70.8937474,"[{""name"":""Gold (M)"",""rating"":72.5,""par"":72,""slope"":124},{""name"":""Blue (M)"",""rating"":70,""par"":72,""slope"":122},{""name"":""White (M)"",""rating"":66.9,""par"":72,""slope"":116},{""name"":""White (F)"",""rating"":72.3,""par"":72,""slope"":123},{""name"":""Forward (M)"",""rating"":68.4,""par"":72,""slope"":115}]",18,72,,,Public,http://www.golfacushnet.com/
Adams Country Club,Adams,New York,USA,43.82272745,-76.02207714,"[{""name"":""Blue (M)"",""rating"":null,""par"":35,""slope"":123},{""name"":""White (M)"",""rating"":null,""par"":35,""slope"":120},{""name"":""Gold (M)"",""rating"":null,""par"":35,""slope"":120},{""name"":""Red (F)"",""rating"":null,""par"":35,""slope"":117}]",9,35,,,Public,http://adamscountryclub.com
Adams County Country Club,West Union,Ohio,USA,38.7954677,-83.5306388,"[{""name"":""White (M)"",""rating"":null,""par"":33,""slope"":null},{""name"":""Red (F)"",""rating"":null,""par"":35,""slope"":null}]",9,32,,,Public,http://www.facebook.com/ACCCGolf
Adams Golf Club,Blue Springs,Missouri,USA,39.0236919,-94.240746,"[{""name"":""Championship (M)"",""rating"":null,""par"":72,""slope"":null},{""name"":""Blue (M)"",""rating"":69.8,""par"":72,""slope"":126},{""name"":""White (M)"",""rating"":68.9,""par"":72,""slope"":124},{""name"":""Red (M)"",""rating"":71.3,""par"":72,""slope"":124}]",18,72,,,Public,https://www.adamspointegolfclub.com/
Adams Golf Club,Bartlesville,Oklahoma,USA,36.7589,-95.9328,"[{""name"":""Championship"",""rating"":74.6,""par"":72,""slope"":138},{""name"":""Blue"",""rating"":72.4,""par"":72,""slope"":131},{""name"":""White"",""rating"":70,""par"":72,""slope"":126},{""name"":""Gold"",""rating"":67.8,""par"":72,""slope"":120},{""name"":""Red"",""rating"":69.2,""par"":72,""slope"":116}]",18,72,73.1,129,Public,
Adams Pointe Golf Club,Blue Springs,Missouri,USA,39.043,-94.275,"[{""name"":""Black"",""rating"":73.6,""par"":72,""slope"":138},{""name"":""Blue"",""rating"":71.5,""par"":72,""slope"":134}]",18,72,73.3,133,Public,
Adams Springs Golf Course,Cobb,California,USA,38.8491859,-122.7236557,"[{""name"":""White (18-hole) (M)"",""rating"":71.7,""par"":68,""slope"":121},{""name"":""Red (18-hole) (M)"",""rating"":65,""par"":68,""slope"":115},{""name"":""Red (18-hole) (F)"",""rating"":67,""par"":68,""slope"":121}]",9,34,,,Public,https://www.adamsspringsgolfcourse.com/
Addison Reserve Country Club,Delray Beach,Florida,USA,26.4316367,-80.1588945,"[{""name"":""AR (M)"",""rating"":null,""par"":36,""slope"":null},{""name"":""I (M)"",""rating"":null,""par"":36,""slope"":null},{""name"":""II (M)"",""rating"":null,""par"":36,""slope"":null},{""name"":""III (M)"",""rating"":null,""par"":36,""slope"":null},{""name"":""IV (M)"",""rating"":null,""par"":36,""slope"":null},{""name"":""V (M)"",""rating"":null,""par"":36,""slope"":null}]",18,36,,,Private,https://www.addisonreserve.cc/
Addison Reserve Country Club Redemption Golf Course,Delray Beach,Florida,USA,26.4363313,-80.1571298,"[{""name"":""Back (M)"",""rating"":null,""par"":35,""slope"":null},{""name"":""Midle (M)"",""rating"":null,""par"":35,""slope"":null},{""name"":""Forward (M)"",""rating"":null,""par"":35,""slope"":null},{""name"":""Front (M)"",""rating"":null,""par"":35,""slope"":null}]",9,36,,,Private,https://www.addisonreserve.cc/
Addison Reserve Country Club Trepidation Golf Course,Delray Beach,Florida,USA,26.4363313,-80.1571298,"[{""name"":""Back (M)"",""rating"":null,""par"":36,""slope"":null},{""name"":""Middle (M)"",""rating"":null,""par"":36,""slope"":null},{""name"":""Forward (M)"",""rating"":null,""par"":36,""slope"":null},{""name"":""Front (M)"",""rating"":null,""par"":36,""slope"":null}]",9,36,,,Private,
